family,content_type,path,size_bytes,size_mb,extension,zip_members,zip_member_suffixes,zip_uncompressed_bytes,processing_status,priority,decision_reason
sitadel,sitadel_annual_communal_nonres,data/raw/external/sitadel/Donnees-annuelles-communales-Locaux.2026-04.csv,89805720,85.65,csv,0,,,processed,done,used to build lagged SITADEL ZE2020 features
energy,energy_iris,"data/raw/external/energy/Données locales de consommation d'électricité, de gaz naturel et de chaleur et de froid - IRIS (à partir de 2018).zip",76747517,73.19,zip,23,"csv,pdf",626574414,processed_subset,done,electricity/gas non-residential processed; heat/cold skipped
sitadel,sitadel_monthly_communal_nonres,data/raw/external/sitadel/Donnees-mensuelles-communales-Locaux.2026-03.csv,3351007390,3195.77,csv,0,,,too_heavy_pending,high,3GB monthly communal data may provide stronger temporal signals
rei,rei_fiscality,data/raw/external/rei/REI-2018-fichier-notice-trace.zip,133342103,127.16,zip,3,"pdf,xlsx",151619473,not_processed_xlsx_or_legacy,high,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-2020-fichier-notice-trace.zip,130536507,124.49,zip,3,"pdf,xlsx",153016352,not_processed_xlsx_or_legacy,high,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-2019-fichier-notice-trace.zip,125868927,120.04,zip,3,"pdf,xlsx",148094441,not_processed_xlsx_or_legacy,high,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-2022-fichier-notice-trace.zip,115002288,109.67,zip,3,"pdf,xlsx",141022047,not_processed_xlsx_or_legacy,high,requires controlled conversion/extraction before REI can be evaluated over time
rei,rei_fiscality,data/raw/external/rei/REI-2021-fichier-notice-trace.zip,110528542,105.41,zip,4,"pdf,xlsx",135829025,not_processed_xlsx_or_legacy,high,requires controlled conversion/extraction before REI can be evaluated over time
energy,energy_historical_2008_2017,data/raw/external/energy/Donnees-locales-de-consommation-denergie-periode-2008-2017-electricite.2017-12.csv,36063201,34.39,csv,0,,,not_processed,high,can extend energy temporal depth before 2018
energy,energy_historical_2008_2017,data/raw/external/energy/Donnees-locales-de-consommation-denergie-periode-2008-2017-gaz.2017-12.csv,16183465,15.43,csv,0,,,not_processed,high,can extend energy temporal depth before 2018
energy,energy_historical_2008_2017,"data/raw/external/energy/Données locales de consommation d'électricité, de gaz naturel et de chaleur et de froid (période 2008-2017).zip",13251694,12.64,zip,8,"csv,pdf",54628328,not_processed,high,can extend energy temporal depth before 2018
energy,energy_historical_2008_2017,data/raw/external/energy/Donnees-locales-de-consommation-denergie-periode-2008-2017-chaleur-et-froid.2017-12.csv,965631,0.92,csv,0,,,not_processed,high,can extend energy temporal depth before 2018
energy,energy_epci,data/raw/external/energy/Données locales de consommation d'électricité et de gaz naturel - EPCI (à partir de 2018).zip,9898318,9.44,zip,17,"csv,pdf",85171021,not_processed,low,coarser geography or less direct match to ZE2020 target
sitadel,sitadel_departmental,data/raw/external/sitadel/Donnees-mensuelles-departementales-Logements.2026-04.csv,6194293,5.91,csv,0,,,not_processed,low,coarser geography or less direct match to ZE2020 target
sitadel,sitadel_departmental,data/raw/external/sitadel/Donnees-mensuelles-departementales-Locaux.2026-04.csv,4860343,4.64,csv,0,,,not_processed,low,coarser geography or less direct match to ZE2020 target
sitadel,sitadel_epci,data/raw/external/sitadel/Donnees-annuelles-par-EPCI-Locaux.2026-03.csv,4673795,4.46,csv,0,,,not_processed,low,coarser geography or less direct match to ZE2020 target
sitadel,sitadel_regional,data/raw/external/sitadel/Donnees-mensuelles-regionales-Logements.2026-03.csv,2520239,2.4,csv,0,,,not_processed,low,coarser geography or less direct match to ZE2020 target
sitadel,sitadel_regional,data/raw/external/sitadel/Donnees-mensuelles-regionales-Locaux.2026-04.csv,1221083,1.16,csv,0,,,not_processed,low,coarser geography or less direct match to ZE2020 target
energy,external_other,data/raw/external/energy/Données locales de consommation d'électricité et de gaz naturel - région (à partir de 2018).zip,887843,0.85,zip,3,"csv,pdf",5001465,not_processed,low,not selected yet
energy,energy_heat_cold,data/raw/external/energy/Données locales de consommation de chaleur et de froid - commune (à partir de 2018).zip,711604,0.68,zip,6,"csv,pdf",1627745,not_processed,low,coarser geography or less direct match to ZE2020 target
sitadel,sitadel_departmental,data/raw/external/sitadel/Donnees-annuelles-departementales-Locaux.2026-04.csv,353742,0.34,csv,0,,,not_processed,low,coarser geography or less direct match to ZE2020 target
energy,external_other,data/raw/external/energy/Données locales de consommation de produits pétroliers - département (à partir de 2005).zip,297668,0.28,zip,2,"csv,pdf",489098,not_processed,low,not selected yet
sitadel,external_other,data/raw/external/sitadel/Donnees-mensuelles-nationales-Logements.2026-03.csv,196234,0.19,csv,0,,,not_processed,low,not selected yet
energy,external_other,data/raw/external/energy/Données mensuelles de consommation de produits pétroliers (à partir de 2017)l.zip,155262,0.15,zip,2,"csv,pdf",230794,not_processed,low,not selected yet
sitadel,external_other,data/raw/external/sitadel/Donnees-mensuelles-nationales-Locaux.2026-03.csv,84304,0.08,csv,0,,,not_processed,low,not selected yet
energy,energy_petroleum,data/raw/external/energy/1.1.-Prix-menages-Petrole.2026-04.csv,52067,0.05,csv,0,,,not_processed,low,coarser geography or less direct match to ZE2020 target
energy,energy_petroleum,data/raw/external/energy/2.1.-Prix-industriels-Petrole.2026-04.csv,19960,0.02,csv,0,,,not_processed,low,coarser geography or less direct match to ZE2020 target
energy,external_other,data/raw/external/energy/1.2.-Prix-menages-Electricite.2026-04.csv,18907,0.02,csv,0,,,not_processed,low,not selected yet
energy,external_other,data/raw/external/energy/1.3.-Prix-menages-Gaz.2026-04.csv,13814,0.01,csv,0,,,not_processed,low,not selected yet
energy,external_other,data/raw/external/energy/1.4.-Prix-menages-Bois.2026-04.csv,13647,0.01,csv,0,,,not_processed,low,not selected yet
sitadel,sitadel_event_level_permissions,data/raw/external/sitadel/Liste-des-autorisations-durbanisme-creant-des-logements.2026-04.csv,869080886,828.82,csv,0,,,too_heavy_pending,medium,event-level permits may help but require aggregation design
sitadel,sitadel_event_level_permissions,data/raw/external/sitadel/Liste-des-autorisations-durbanisme-creant-des-locaux-non-residentiels.2026-04.csv,288456609,275.09,csv,0,,,too_heavy_pending,medium,event-level permits may help but require aggregation design
rei,rei_fiscality,data/raw/external/rei/REI-2015-fichier-notice-trace.zip,117949746,112.49,zip,3,"pdf,xlsx",127083172,not_processed_xlsx_or_legacy,medium,requires controlled conversion/extraction before REI can be evaluated over time
