feature,classification,source,update_recipe,freq,pub_lag_months,2021,2022,2023,2024,2025,2026,2027,notes
naf4_shannon_diversity,A_safe_for_training,INSEE SIRENE base SIRET,Filter SIRENE Dec(Y-1) → ZE2020 join → entropy of NAF4 distribution,Annual,1,not_safe,lagged_available,lagged_available,lagged_available,lagged_available,lagged_available,lagged_available,"not_safe for 2021: IAT snapshot is 2022 vintage. Reconstruct 2021 from SIRENE stock Dec 2020."
naf4_hhi,A_safe_for_training,INSEE SIRENE base SIRET,Filter SIRENE Dec(Y-1) → ZE2020 join → HHI of NAF4 distribution,Annual,1,not_safe,lagged_available,lagged_available,lagged_available,lagged_available,lagged_available,lagged_available,Same as diversity. Pair with diversity: corr expected ~ -0.8.
n_active_estab,A_safe_for_training,INSEE SIRENE base SIRET,COUNT active SIRET in ZE2020 Dec(Y-1),Annual,1,not_safe,lagged_available,lagged_available,lagged_available,lagged_available,lagged_available,lagged_available,"Highly correlated with SIDE target. May be redundant. Test VIF before including."
avg_workforce_per_estab,A_safe_for_training,INSEE SIRENE (tranche_effectifs),MEAN workforce class Dec(Y-2) per ZE2020,Annual,18,not_safe,not_safe,lagged_available,lagged_available,lagged_available,lagged_available,lagged_available,18-month publication lag. Use Y-2 to be safe.
avg_pci,A_safe_for_training,Harvard Atlas OEC PCI 2019,Static. Update only on new Harvard release,None (static),n/a,observed_available,observed_available,observed_available,observed_available,observed_available,observed_available,observed_available,"pci_2019 column in rank_economic_growth. Structural indicator, safe for all years."
nace_io_strength,A_safe_for_training,INSEE TES / Eurostat SUTS (NACE),Static benchmark IO table,None (static),n/a,observed_available,observed_available,observed_available,observed_available,observed_available,observed_available,observed_available,"IO table 2015 or 2019 vintage. Update trigger: when 2020 TES published (~2024)."
mean_naf_proximity,B_static_context,vw_naf_proximity (static matrix) + SIRENE T-1 sector presence,Compute mean proximity for NAF pairs co-present in ZE2020 per year,Annual (sector presence),1,not_safe,lagged_available,lagged_available,lagged_available,lagged_available,lagged_available,lagged_available,"Proximity matrix = static. Sector co-presence = T-1 SIRENE. not_safe for 2021: need 2020 SIRENE stock."
mean_semantic_proximity,B_static_context,vw_naf_proximity semantic column + SIRENE T-1,Same as mean_naf_proximity,Annual (sector presence),1,not_safe,lagged_available,lagged_available,lagged_available,lagged_available,lagged_available,lagged_available,NLP-based. Captures labor mobility dimension.
avg_resilience,B_static_context,rank_productive_resilience (2019 trade flows),Static resilience_norm = efficiency × redundancy per HS4,None (static),n/a,observed_available,observed_available,observed_available,observed_available,observed_available,observed_available,observed_available,"Test: does high avg_resilience correlate with lower 2021 WMAPE degradation? Structural indicator."
pci_std_within_ze,B_static_context,rank_economic_growth PCI,STDEV of pci_2019 across products in ZE2020,None (static),n/a,observed_available,observed_available,observed_available,observed_available,observed_available,observed_available,observed_available,High PCI_std = diverse sophistication mix. Exploratory.
export_rca_strength,A_safe_for_training,DGDDI Douanes France (annual),RCA(dep=hs4,t) = (X_dep_hs4_t/X_dep_t)/(X_FR_hs4_t/X_FR_t) aggregated dept→ZE2020,Annual,18,not_safe,not_safe,lagged_available,lagged_available,lagged_available,lagged_available,lagged_available,"T-2 lag (18-month pub + 6-month safety margin). For 2023 prediction: use 2021 Douanes. Not in IAT directly."
avg_green_score,C_post_model_only,rank_green_production (source unconfirmed),Post-model only,None,n/a,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,"Source not confirmed. Do not use in training until methodology validated."
maslow_coverage,C_post_model_only,rank_basic_necessities (Maslow per HS4),Post-model context. Static.,None (static),n/a,post_model_only,post_model_only,post_model_only,post_model_only,post_model_only,post_model_only,post_model_only,maslow_cat + maslow_norm per HS4. Explains territorial basic-needs coverage post-prediction.
recommendation_density,C_post_model_only,recommendation table (2022 static snapshot),Post-model only. Never training.,None (2022 static),n/a,not_safe,not_safe,not_safe,not_safe,not_safe,not_safe,not_safe,"117K recommendations. Not safe for any training year. Use after HERALD outputs forecast."
partner_potential_mean,C_post_model_only,ia_establishment_potential_partners (2022 static),Post-model only. Never training.,None (2022 static),n/a,not_safe,not_safe,not_safe,not_safe,not_safe,not_safe,not_safe,"1.2M potential partner pairs. Aggregated to ZE2020 = mean economic integration score."
supplier_potential_score,C_post_model_only,ia_potential_by_iot (2022 static),Post-model only. Never training.,None (2022 static),n/a,not_safe,not_safe,not_safe,not_safe,not_safe,not_safe,not_safe,"976K IO-based potential pairs. Static snapshot. Post-model supply chain layer."
workforce_density,A_safe_for_training,SIRENE + CLAP (INSEE),SUM(workforce) / n_communes_in_ze from CLAP T-2,Annual,18,not_safe,not_safe,lagged_available,lagged_available,lagged_available,lagged_available,lagged_available,"Rough proxy in v0. Proper version: CLAP employment by ZE if available."
