candidate_id,source_family,representative_local_files_or_source,local_status,temporal_coverage_observed_or_claimed,geographic_level,possible_future_use,integration_priority,integration_risk,decision_now
sirene_establishment_history,business_registry,"data/raw/business_registry/sirene/StockEtablissementHistorique_utf8.zip; data/raw/business_registry/sirene/StockEtablissement_utf8.parquet; data/raw/business_registry/sirene/GeolocalisationEtablissement_Sirene_pour_etudes_statistiques_utf8.parquet",local_available,stock_and_history_current_register,establishment_address_geolocation,"improve target provenance; derive establishment dynamics; validate SIRENE-based proxy; enrich local business structure",high,large_files_and_historical_address_caveats,keep_for_target_audit_and_future_enrichment
rp_extended_2022,census_population,"data/raw/census/rp_2022/DS_RP_ACTIVITE_PRINC_2022_CSV_FR.zip; DS_RP_EDUCATION_2022_CSV_FR.zip; DS_RP_LOGEMENT_*_2022; DS_RP_FAMILLE_*_2022; DS_RP_MENAGES_*_2022; DS_RP_MIGRES_PRINC_2022_CSV_FR.zip; DS_RP_NAVETTES_PRINC_2022_CSV_FR.zip",local_available,2022,commune_and_supra_communal,"add education, housing, households, migration and commuting features to annual territorial panel",high,many_dimensions_and_feature_selection_risk,integrate_selectively_after_feature_baseline
rp_temporal_depth_2021,census_population,"data/raw/temporal_depth/rp/base-cc-caract_emp-2021_csv.zip; base-cc-emploi-pop-active-2021_csv.zip; base-cc-evol-struct-pop-2021_csv.zip; base-cc-serie-historique-2021_csv.zip; base-flux-mobilite-domicile-lieu-travail-2021-csv.zip",local_available,2021,commune,"increase annual depth for population, employment and mobility before complex models",high,comparability_and_schema_alignment,partially_integrated_keep_for_deeper_features
flores_historical_depth,employment_establishments,"data/raw/employment/flores/TD_FLORES2017_*; TD_FLORES2018_*; TD_FLORES2019_*; TD_FLORES2020_*; TD_FLORES2021_*; DS_FLORES_2022_CSV_FR.zip; DS_FLORES_2023_CSV_FR.zip",local_available,2017_2023,commune_or_geo2020_tables,"extend employment and establishment structure backward; create stronger annual node features",high,legacy_table_formats_and_geography_alignment,prioritize_after_current_baselines
flores_sectoral_2024,employment_establishments,"data/raw/employment/flores/DS_FLORES_A5_2024_CSV_FR.zip; DS_FLORES_A17_2024_CSV_FR.zip; DS_FLORES_A38_2024_CSV_FR.zip; DS_FLORES_A88_2024_CSV_FR.zip; DS_FLORES_ECONOMIC_SPHERE_2024_CSV_FR.zip; DS_FLORES_PE_2024_CSV_FR.zip",local_available,2024,commune_and_supra_communal,"richer sectoral decomposition of local employment and establishments",medium_high,too_many_sectoral_features_with_short_timeline,feature_selection_only
side_communal_creation_2024,business_demography,"data/raw/business_demography/side/DS_SIDE_CREA_ENT_COM_2024_CSV_FR.zip; DS_SIDE_CREA_ETAB_COM_2024_CSV_FR.zip; TAB_SIDE_CREA_ENT_COM_2024_XLSX.zip; TAB_SIDE_CREA_ETAB_COM_2024_XLSX.zip",local_available,2012_2024_or_2024_claimed,commune_and_supra_communal,"official business and establishment creations by local geography; potential replacement or validation of target proxy",very_high,need_confirm_exact_fields_and_avoid_target_leakage,inspect_before_feature_augmented_baseline
side_dep_reg_nat_legal_form,business_demography,"data/raw/business_demography/side/DS_SIDE_CREA_ENT_DEP_REG_NAT_CJ_2024_CSV_FR.zip; DS_SIDE_CREA_DEP_REG_NAT_2024_CSV_FR.zip; DS_SIDE_CREA_EI_2024_CSV_FR.zip",local_available,2012_2024,department_region_national,"upper-level context for legal-form-specific creation dynamics",medium,not_ZE2020_directly_attach_only_as_context,keep_as_future_context
side_stocks_extended,business_demography,"data/raw/business_demography/side/DS_SIDE_STOCKS_A21_2023_*; DS_SIDE_STOCKS_EI_2023_*; TAB_SIDE_STOCKS_*",local_available,2014_2023_or_2023_claimed,department_region_national_or_commune_depending_file,"business stock by sector, legal form, employer size or individual entrepreneur status",medium_high,mixed_geographies_and_semantics,inspect_selectively
bpe_specialized_2024,accessibility_services,"data/raw/temporal_depth/bpe/DS_BPE_EDUCATION_2024_CSV_FR.zip; DS_BPE_SPORT_CULTURE_2024_CSV_FR.zip; DS_BPE_2024_CSV_FR.zip; BPE24.zip",local_available,2024,commune_iris_or_equipment,"specialized amenities, education, sport and culture features",medium,short_time_depth_and_BPE_comparability_cautions,possible_static_or_latest_context
bpe_harmonized_future,accessibility_services,"data/raw/temporal_depth/bpe/ds_bpe_evolution_com_2019_2024_geo_2025.zip; INSEE announced future 2015-2025 count/presence table",local_available_plus_future_release,2019_2024_now_2015_2025_expected,commune_geo2025,"comparable annual service presence layer; future stronger temporal depth",high,official_comparability_reserves_wait_for_2026_release,hold_until_official_2015_2025_release
