feature,feature_group,reconstruct_2021,reconstruct_2022,reconstruct_2023,reconstruct_2024,reconstruct_2025,use_for_2026_forecast,use_for_2027_forecast,lag_type,data_source_per_year,leakage_rule,forbidden_data,notes
n_active_estab,annual_reconstructible,"SIRENE stock Dec 2020 → filter active → ZE2020 join","SIRENE stock Dec 2021 → filter active → ZE2020","SIRENE stock Dec 2022 → ZE2020","SIRENE stock Dec 2023 → ZE2020","SIRENE stock Dec 2024 → ZE2020","Use SIRENE Dec 2025 when available; otherwise nowcast from SIDE creation data","Use SIRENE Dec 2026 when available",lagged_T1,Year Y: use SIRENE Dec(Y-1). Available ~Jan(Y) — 1 month after reference.,"Feature for year Y must use data from Dec(Y-1) or earlier. Never use Dec(Y) to predict year Y.","Do NOT use Dec 2021 stock to predict 2021 HERALD target","SIRENE monthly stock is the cleanest source. Download historical stocks from data.gouv.fr/fr/datasets/base-siret/ archives."
naf4_shannon_diversity,annual_reconstructible,"SIRENE Dec 2020: group by ZE2020+NAF4; compute -SUM(p*ln(p))","SIRENE Dec 2021 → same","SIRENE Dec 2022 → same","SIRENE Dec 2023 → same","SIRENE Dec 2024 → same","Use SIRENE Dec 2025; or carry forward 2024 value if unavailable","Use SIRENE Dec 2026 when available",lagged_T1,Year Y: use SIRENE Dec(Y-1) NAF4 distribution,"Never use same-year SIRENE stock to predict same-year creation target","SIRENE Dec(Y) for year Y prediction","diversity = -SUM(p_i * ln(p_i)) where p_i = n_estab_in_naf4_i / total_n_estab in ZE2020. Use NAF at 4-digit level (e.g. '47.11' not '47.11Z')."
naf4_hhi,annual_reconstructible,"SIRENE Dec 2020: group by ZE2020+NAF4; compute SUM(p_i^2)","SIRENE Dec 2021 → same","SIRENE Dec 2022 → same","SIRENE Dec 2023 → same","SIRENE Dec 2024 → same","Use SIRENE Dec 2025; carry forward 2024 if unavailable","Use SIRENE Dec 2026 when available",lagged_T1,Year Y: SIRENE Dec(Y-1),"Never use same-year SIRENE","SIRENE Dec(Y) for year Y","HHI = SUM(p_i^2) ∈ [0,1]. High HHI = concentrated. Negatively correlated with diversity. Keep both or select one based on VIF."
active_share,annual_reconstructible,SIRENE Dec 2020: n_active/n_total per ZE2020,SIRENE Dec 2021,SIRENE Dec 2022,SIRENE Dec 2023,SIRENE Dec 2024,SIRENE Dec 2025 or nowcast,SIRENE Dec 2026 when available,lagged_T1,Year Y: SIRENE Dec(Y-1),"Never use same-year SIRENE","SIRENE Dec(Y) for year Y","May capture zones where many establishments are ceasing. Complement to growth signal."
total_workforce,promising_needs_confirmation,"CLAP emploi localisé ZE2020 2020 (published ~2022) — lagged T-2","CLAP 2021 (published ~2023)","CLAP 2022 (~2024)","CLAP 2023 (~2025)","CLAP 2024 (~2026) — may not be available","CLAP 2025 when published","CLAP 2026 when published",lagged_T2,Year Y: use CLAP employment from year Y-2 (18-month publication lag + 6-month safety margin),"Use Y-2 CLAP employment for year Y prediction. Never use Y or Y-1 if Y-1 data not confirmed published.","CLAP(Y) or CLAP(Y-1) if publication not confirmed","Preferred over SIRENE workforce_count (31% coverage). If CLAP not available for specific year: use SIRENE trancheEffectifsEtablissement (coarser but available). CLAP: https://www.insee.fr/fr/statistiques/2021201"
avg_pci_naf_weighted,static_structural_candidate,"Use 2019 PCI for all years — static structural indicator","Use 2019 PCI","Use 2019 PCI","Use 2019 PCI","Use 2019 PCI; optionally update to 2021 PCI if significant changes","Use 2021 PCI or 2023 if available","Use latest available PCI vintage",static,PCI vintage 2019 (Harvard Atlas). Same value used for 2012–2027 unless updated.,"No temporal leakage — PCI is computed from long-run trade patterns. Using 2019 PCI for 2021 prediction is safe.","PCI computed from future trade data (e.g. using 2025 PCI to predict 2021) — do not use future PCI vintages retroactively.","Compute: for each ZE2020, MEAN[n_estab_naf × SUM(proximity(naf,hs4) × pci(hs4)) / SUM(proximity(naf,hs4))] / total_n_estab. Coverage: 60.1% of active establishments (295/1707 NAF codes have proximity data)."
avg_resilience_naf_weighted,promising_needs_confirmation,"Use static 2019 resilience_norm value — as context only","Same — static","Same — static","Same — static","Same — static","Same — static; do not update without formula documentation","Same — static",static,"resilience_norm is static (computed from 2019 world trade flow network). Same value 2012–2027.","No temporal leakage — static structural. Value reflects product portfolio resilience, not current conditions.","Do not use resilience_norm as if it represents current economic conditions. Always label 'static 2019 network analysis'.","resilience_norm ∈ [0,1]. Test: correlation with 2021 WMAPE shock. Hypothesis: high-resilience ZEs showed less COVID degradation. Formula: unknown (network efficiency × redundancy from trade graph). Cannot reconstruct dynamically."
avg_green_naf_weighted,blocked_for_training,BLOCKED — source unconfirmed,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,blocked,"Source unknown. Cannot determine vintage or methodology.","Never use for training until source confirmed.","Any year: blocked","green_norm source not documented. National mean = 0.004 (services-dominated). Candidate: EU Taxonomy HS4 crosswalk. Action: investigate nomenclature_product_green column definitions in restored DB before proceeding."
avg_maslow_naf_weighted,static_structural_candidate,"Use static maslow_norm — structural descriptor","Static","Static","Static","Static","Static","Static",static,"maslow_norm is static (internal product-Maslow mapping). Same value 2012–2027.","No temporal leakage — describes structural product basket position on Maslow hierarchy. Not predictive of year-specific dynamics.","Do not confuse maslow_norm with economic conditions. It describes WHAT a zone produces, not HOW MUCH.","maslow_norm: physiological products (food/energy) score low; professional services score high. Use as post-model narrative: 'this ZE produces basic goods' vs 'high-value services'."
mean_naf_proximity,static_structural_candidate,"Use static proximity matrix × Dec 2020 SIRENE sector presence","Static matrix × Dec 2021 sector presence","Static matrix × Dec 2022 sector presence","Static matrix × Dec 2023 sector presence","Static matrix × Dec 2024 sector presence","Static matrix × Dec 2025 sector presence","Static matrix × Dec 2026 sector presence",static_matrix_plus_annual_presence,Year Y: proximity matrix is static (vw_naf_proximity). Sector presence = SIRENE Dec(Y-1). Compute mean proximity for co-present NAF pairs.,"Proximity matrix: no leakage (static structural). Sector presence: T-1 SIRENE lag required.","Using SIRENE Dec(Y) sector presence to predict year Y","vw_naf_proximity has 84264 NAF pairs. SQL: for each ZE2020, find distinct NAF codes from SIRENE Dec(Y-1), join pairs to vw_naf_proximity, compute mean proximity and mean semantic_proximity."
mean_semantic_proximity,blocked_for_training,BLOCKED — NLP model unknown,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,BLOCKED,blocked,"NLP embedding model undocumented.","Never use for training in current state.","All years: blocked","Can be unblocked by: re-embedding nomenclature_activity.name_ref2 with sentence-transformers model (paraphrase-multilingual-MiniLM-L12-v2). Results would be approximate but open-source and reproducible. Static — no annual update needed."
nace_io_mean,static_structural_candidate,"Use static nace_proximities (derived from 2019 IO). Same value for all years.","Static","Static","Static","Static","Static; optionally update with 2020 TES when available","Update with 2020 TES if published",static,IO coefficients are structural (same 2019 TES for 2012-2027). Update only when new TES vintage published (2020 TES expected ~2024-2025).,No temporal leakage — IO coefficients describe structural supply chain relationships not current flows.,"Do not use provisional Eurostat IO tables if they revise methodology; stick to INSEE TES benchmark.","IO mean ~0.80 nationally (low variance). nace_io_total may be more discriminating. Compute: for ZE2020, find NACE codes present from SIRENE Dec(Y-1), look up pairs in nace_proximities, sum/avg weights."
nace_io_total,static_structural_candidate,"Same as nace_io_mean — static","Static","Static","Static","Static","Static","Static",static,Same as nace_io_mean.,Same leakage rules.,"Same prohibition.","nace_io_total / n_nace_pairs^2 = normalized IO density. Recommended transformation before use."
recommendation_density_postmodel,post_model_only,POST-MODEL ONLY — use after HERALD prediction for ZE2020 interpretation,POST-MODEL ONLY,POST-MODEL ONLY,POST-MODEL ONLY,POST-MODEL ONLY,POST-MODEL ONLY,POST-MODEL ONLY,post_model_snapshot,"2022 static snapshot. Not a temporal series.","Never use for training — 2022 static snapshot would contaminate all backtests.","All years: blocked for training","Use workflow: HERALD predicts ZE2020 growth → look up Atlas recommendation_density for same ZE2020 → if high recommendation_density + high predicted growth → targeted policy recommendation."
