column,layer,range_min,range_max,mean,nulls,variance_level,use_policy,training_status,discriminating_power,overseas_included,outlier_notes,action_required
ze2020,identifier,1101,9799,,0,n/a,identifier_only,not_applicable,n/a,YES — 33 overseas ZEs in 306 total,Cross-regional ZEs (0051-0064) are metropolitan but have non-standard codes,Filter overseas ZEs (01XX 02XX 03XX 04XX 06XX) before HERALD use if panel is metropolitan only
libze2020,identifier,,,text,0,n/a,identifier_only,not_applicable,n/a,YES,None,None
n_total_estab,layer_1_basic,342,124757,4969,0,HIGH,"post_model_context; safe as static count; not safe as backtest feature from v1 snapshot","static_context (snapshot 2020-2022) — not_safe_for_training from v1; safe_for_training if reconstructed from SIRENE Dec(Y-1)",HIGH — 342× spread across ZEs,YES — overseas have 329–6201,Paris (86612 active) is strong outlier; Oyonnax is smallest metropolitan zone,"No action for static use. For training: reconstruct from SIRENE annual stock."
n_active_estab,layer_1_basic,329,86612,3748,0,HIGH,post_model_context,static_context — not_safe_for_training from v1 snapshot,HIGH,YES,Épernay (9449) has unusually high n_active for its geography; Paris (86612) dominant,Same as n_total_estab
n_inactive_estab,layer_1_basic,13,38145,1220,0,HIGH,post_model_context,static_context,MEDIUM,YES,Paris (38145) highest absolute inactive count,Rarely used alone; useful as share context
active_share,layer_1_basic,0.646,0.962,0.762,0,MEDIUM,safe_static_context_candidate,"static_context — use with caution; may be safe as structural ratio since captures structural active/inactive balance",MEDIUM — 0.646 to 0.962 spread,YES — overseas mean ~0.70 lower than metro,Île-de-Caraïbe zones have lower active share (more cessations); Vendôme area highest (0.962),Structural ratio; test correlation with SIDE growth before training inclusion
total_workforce,layer_1_basic,313,478788,16446,0,HIGH,post_model_context,static_context — workforce_count sparse (31% coverage); not_safe_for_training from v1,MEDIUM — inflated by Paris,YES,Paris (478788) extreme outlier; median ZE ~3000 workforce total,workforce_count covers only 31% of establishments; remaining 69% contribute 0. Interpret as lower bound only.
avg_workforce_per_estab,layer_1_basic,0.32,12.45,3.31,0,MEDIUM,safe_static_context_candidate,static_context — low coverage caveat,MEDIUM,YES — overseas mean very low (0.32–1.22 range),Versailles-Saint-Quentin (10.65) and Saclay (6.91) high-workforce zones (aerospace/defense); overseas lowest (<1.5),Coverage issue: 31% of establishments. Use as structural proxy only. Log-transform recommended.
n_distinct_naf4,layer_1_basic,55,356,166,0,HIGH,safe_static_context_candidate,static_context,HIGH — 55 to 356 spread,YES — overseas have 55–80 NAF4 codes,Paris (356) highest; small/rural zones 55–80; strongly correlated with n_active_estab,Normalize by log(n_active_estab) before comparing across ZEs
naf4_shannon_diversity,layer_1_basic,1.1215,4.4445,3.603,0,HIGH,safe_static_context_candidate — strongest basic feature,static_context; safe_for_training if reconstructed annually,HIGH — Épernay 1.12 to Lyon 4.44,YES — overseas range 2.37–3.56,Épernay (1.12) extreme outlier: single champagne sector. Marie-Galante (2.37) also low. Paris (3.93). Lyon (4.44) highest.,Best basic discriminator. Log-transform not needed. Already bounded [0, ln(N)].
