feature_name,feature_group,temporal_role,included_in_core_v0,notes
filosofi_s_hh_tax_weighted_proxy,dynamic_panel,year_specific,1,Observed only in source year rows; no temporal imputation applied.
filosofi_s_dir_tax_di_weighted_proxy,dynamic_panel,year_specific,1,Observed only in source year rows; no temporal imputation applied.
population_total,dynamic_panel,year_specific,1,Observed only in source year rows; no temporal imputation applied.
active_lr_total,dynamic_panel,year_specific,1,Observed only in source year rows; no temporal imputation applied.
employed_lr_total,dynamic_panel,year_specific,1,Observed only in source year rows; no temporal imputation applied.
unemployed_lr_total,dynamic_panel,year_specific,1,Observed only in source year rows; no temporal imputation applied.
unemployment_rate_est,dynamic_panel,year_specific,1,Observed only in source year rows; no temporal imputation applied.
jobs_lt_total,dynamic_panel,year_specific,1,Observed only in source year rows; no temporal imputation applied.
jobs_lt_per_1000_pop,dynamic_panel,year_specific,1,Observed only in source year rows; no temporal imputation applied.
side_stocks_et_total,dynamic_panel,year_specific,1,Observed only in source year rows; no temporal imputation applied.
side_stocks_ul_total,dynamic_panel,year_specific,1,Observed only in source year rows; no temporal imputation applied.
side_stocks_et_per_1000_pop,dynamic_panel,year_specific,1,Observed only in source year rows; no temporal imputation applied.
bpe_facilities_total,dynamic_panel,year_specific,1,Observed only in source year rows; no temporal imputation applied.
bpe_facilities_per_1000_pop,dynamic_panel,year_specific,1,Observed only in source year rows; no temporal imputation applied.
bpe_evolution_commune_type_presence_total,dynamic_panel,year_specific,1,Observed only in source year rows; no temporal imputation applied.
flores_presential_unit_loc_total,dynamic_panel,year_specific,1,Observed only in source year rows; no temporal imputation applied.
flores_productive_unit_loc_total,dynamic_panel,year_specific,1,Observed only in source year rows; no temporal imputation applied.
flores_et_total,dynamic_panel,year_specific,1,Observed only in source year rows; no temporal imputation applied.
side_creations_et_total,dynamic_panel,year_specific,1,Observed only in source year rows; no temporal imputation applied.
static_nb_com,static_context,repeated_static,1,Repeated across years as structural context.
static_pop_growth_2021_2023,static_context,repeated_static,1,Repeated across years as structural context.
static_pop_growth_2018_2023,static_context,repeated_static,1,Repeated across years as structural context.
static_zan_artif_per_pop21,static_context,repeated_static,1,Repeated across years as structural context.
static_zan_artif_per_surface,static_context,repeated_static,1,Repeated across years as structural context.
static_zan_communes_count,static_context,repeated_static,1,Repeated across years as structural context.
