relation_family,decision_year,availability_status,unavailable_reason,source_snapshot_year,source_release_date,snapshot_age_years,expected_edge_count,actual_edge_count,provenance
commuting_strict_ex_ante,2012,unavailable,source_not_released,,,,,0,no official commuting snapshot had been released by this decision year; the earliest snapshot (observation 2012) was released 2015-06-25 (DEC-073)
commuting_strict_ex_ante,2013,unavailable,source_not_released,,,,,0,no official commuting snapshot had been released by this decision year; the earliest snapshot (observation 2012) was released 2015-06-25 (DEC-073)
commuting_strict_ex_ante,2014,unavailable,source_not_released,,,,,0,no official commuting snapshot had been released by this decision year; the earliest snapshot (observation 2012) was released 2015-06-25 (DEC-073)
commuting_strict_ex_ante,2015,unavailable,source_not_released,,,,,0,no official commuting snapshot had been released by this decision year; the earliest snapshot (observation 2012) was released 2015-06-25 (DEC-073)
commuting_strict_ex_ante,2016,carried_forward_from_snapshot,,2012,2015-06-25,4,,27675,fr_ze2020_commuting_strict_ex_ante_edges.csv.gz via build_fr_ze2020_commuting_strict_ex_ante_edges.py; official INSEE flow snapshot carried forward under a release-aware rule (DEC-073)
commuting_strict_ex_ante,2017,carried_forward_from_snapshot,,2012,2015-06-25,5,,27675,fr_ze2020_commuting_strict_ex_ante_edges.csv.gz via build_fr_ze2020_commuting_strict_ex_ante_edges.py; official INSEE flow snapshot carried forward under a release-aware rule (DEC-073)
commuting_strict_ex_ante,2018,carried_forward_from_snapshot,,2012,2015-06-25,6,,27675,fr_ze2020_commuting_strict_ex_ante_edges.csv.gz via build_fr_ze2020_commuting_strict_ex_ante_edges.py; official INSEE flow snapshot carried forward under a release-aware rule (DEC-073)
commuting_strict_ex_ante,2019,carried_forward_from_snapshot,,2012,2015-06-25,7,,27675,fr_ze2020_commuting_strict_ex_ante_edges.csv.gz via build_fr_ze2020_commuting_strict_ex_ante_edges.py; official INSEE flow snapshot carried forward under a release-aware rule (DEC-073)
commuting_strict_ex_ante,2020,carried_forward_from_snapshot,,2012,2015-06-25,8,,27675,fr_ze2020_commuting_strict_ex_ante_edges.csv.gz via build_fr_ze2020_commuting_strict_ex_ante_edges.py; official INSEE flow snapshot carried forward under a release-aware rule (DEC-073)
commuting_strict_ex_ante,2021,carried_forward_from_snapshot,,2017,2020-12-09,4,,27683,fr_ze2020_commuting_strict_ex_ante_edges.csv.gz via build_fr_ze2020_commuting_strict_ex_ante_edges.py; official INSEE flow snapshot carried forward under a release-aware rule (DEC-073)
commuting_strict_ex_ante,2022,carried_forward_from_snapshot,,2017,2020-12-09,5,,27683,fr_ze2020_commuting_strict_ex_ante_edges.csv.gz via build_fr_ze2020_commuting_strict_ex_ante_edges.py; official INSEE flow snapshot carried forward under a release-aware rule (DEC-073)
commuting_strict_ex_ante,2023,carried_forward_from_snapshot,,2017,2020-12-09,6,,27683,fr_ze2020_commuting_strict_ex_ante_edges.csv.gz via build_fr_ze2020_commuting_strict_ex_ante_edges.py; official INSEE flow snapshot carried forward under a release-aware rule (DEC-073)
commuting_strict_ex_ante,2024,carried_forward_from_snapshot,,2017,2020-12-09,7,,27683,fr_ze2020_commuting_strict_ex_ante_edges.csv.gz via build_fr_ze2020_commuting_strict_ex_ante_edges.py; official INSEE flow snapshot carried forward under a release-aware rule (DEC-073)
commuting_strict_ex_ante,2025,carried_forward_from_snapshot,,2017,2020-12-09,8,,27683,fr_ze2020_commuting_strict_ex_ante_edges.csv.gz via build_fr_ze2020_commuting_strict_ex_ante_edges.py; official INSEE flow snapshot carried forward under a release-aware rule (DEC-073)
cross_ze_same_sector,2012,unavailable,insufficient_history,,,,,0,growth feature first non-null year 2014 and corr(min_periods=3) over years strictly < t require t >= 2017
cross_ze_same_sector,2013,unavailable,insufficient_history,,,,,0,growth feature first non-null year 2014 and corr(min_periods=3) over years strictly < t require t >= 2017
cross_ze_same_sector,2014,unavailable,insufficient_history,,,,,0,growth feature first non-null year 2014 and corr(min_periods=3) over years strictly < t require t >= 2017
cross_ze_same_sector,2015,unavailable,insufficient_history,,,,,0,growth feature first non-null year 2014 and corr(min_periods=3) over years strictly < t require t >= 2017
cross_ze_same_sector,2016,unavailable,insufficient_history,,,,,0,growth feature first non-null year 2014 and corr(min_periods=3) over years strictly < t require t >= 2017
cross_ze_same_sector,2017,derived_available,,,,,,12600,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
cross_ze_same_sector,2018,derived_available,,,,,,12600,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
cross_ze_same_sector,2019,derived_available,,,,,,12600,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
cross_ze_same_sector,2020,derived_available,,,,,,12600,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
cross_ze_same_sector,2021,derived_available,,,,,,12600,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
cross_ze_same_sector,2022,derived_available,,,,,,12600,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
cross_ze_same_sector,2023,derived_available,,,,,,12600,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
cross_ze_same_sector,2024,derived_available,,,,,,12600,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
cross_ze_same_sector,2025,derived_available,,,,,,12600,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
intra_ze_sector,2012,unavailable,insufficient_history,,,,,0,growth feature first non-null year 2014 and corr(min_periods=3) over years strictly < t require t >= 2017
intra_ze_sector,2013,unavailable,insufficient_history,,,,,0,growth feature first non-null year 2014 and corr(min_periods=3) over years strictly < t require t >= 2017
intra_ze_sector,2014,unavailable,insufficient_history,,,,,0,growth feature first non-null year 2014 and corr(min_periods=3) over years strictly < t require t >= 2017
intra_ze_sector,2015,unavailable,insufficient_history,,,,,0,growth feature first non-null year 2014 and corr(min_periods=3) over years strictly < t require t >= 2017
intra_ze_sector,2016,unavailable,insufficient_history,,,,,0,growth feature first non-null year 2014 and corr(min_periods=3) over years strictly < t require t >= 2017
intra_ze_sector,2017,derived_available,,,,,,20,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
intra_ze_sector,2018,derived_available,,,,,,20,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
intra_ze_sector,2019,derived_available,,,,,,20,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
intra_ze_sector,2020,derived_available,,,,,,20,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
intra_ze_sector,2021,derived_available,,,,,,20,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
intra_ze_sector,2022,derived_available,,,,,,20,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
intra_ze_sector,2023,derived_available,,,,,,20,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
intra_ze_sector,2024,derived_available,,,,,,20,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
intra_ze_sector,2025,derived_available,,,,,,20,"fr_ze2020_temporal_relation_signals.csv.gz via build_fr_ze2020_temporal_relation_signals.py; derived from causal lag features, not observed"
sector_to_sector_comovement,2012,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
sector_to_sector_comovement,2013,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
sector_to_sector_comovement,2014,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
sector_to_sector_comovement,2015,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
sector_to_sector_comovement,2016,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
sector_to_sector_comovement,2017,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
sector_to_sector_comovement,2018,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
sector_to_sector_comovement,2019,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
sector_to_sector_comovement,2020,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
sector_to_sector_comovement,2021,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
sector_to_sector_comovement,2022,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
sector_to_sector_comovement,2023,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
sector_to_sector_comovement,2024,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
sector_to_sector_comovement,2025,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
temporal_precedence_signal,2012,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
temporal_precedence_signal,2013,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
temporal_precedence_signal,2014,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
temporal_precedence_signal,2015,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
temporal_precedence_signal,2016,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
temporal_precedence_signal,2017,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
temporal_precedence_signal,2018,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
temporal_precedence_signal,2019,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
temporal_precedence_signal,2020,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
temporal_precedence_signal,2021,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
temporal_precedence_signal,2022,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
temporal_precedence_signal,2023,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
temporal_precedence_signal,2024,unavailable,not_constructed,,,,,0,"documented as planned but never built; see HERALD_20 section 2 (no grain reconciliation with Phase 7, no signed-precedence test at ZE2020 grain)"
