feature_group,columns,source,source_year_used_for_target_T,observed_coverage_in_panel,publication_evidence_local,safe_for_backtest_2025,safe_for_forecast_2026_if_run_after_2026_04_14,safe_for_forecast_2026_if_run_before_2026_release,risk_level,action
SIDE target and AR lags,side_lag_1; side_lag_2; side_lag_3; growth_1y; growth_2y,INSEE SIDE creations etablissements,"T-1, T-2, T-3","2012-2025 target, lags available after first years",SIDE 2012-2025 release integrated; manifest says complete 2025 source and processed 2025 matches ZIP,YES,"YES for T-1=2025 lags, assuming release available before run date",NO,LOW for retrospective strict; MEDIUM for operational forecast timing,Record exact prediction date and SIDE release date in paper/app.
SIDE A10 sector target/prior,sector proportions from side_creations_a10_ze2020_through_2025_v1.csv; sector_lag1_tensor,INSEE SIDE creations etablissements by A10,T-1 for sector prior; T only for evaluation target/loss in training folds,"2012-2025, 280 ZE, 9 A10 sectors",manifest: a10_sector_sum_equals_total=true; processed_2025_matches_complete_side_zip=true,YES if sec_prior uses T-1 and target 2025 only in evaluation,YES for prior 2025 if SIDE A10 2025 release is available,NO; use 2024 prior or explicit nowcast label,MEDIUM,"For production, freeze sector prior according to release calendar."
FLORES establishments/jobs,flores_*_t_minus_1,INSEE FLORES,T-1,target_year 2018-2025 source flag=1 in current panel,builder comment: INSEE lag 6-12 months; source years 2017-2024 implied by target years 2018-2025,YES as strict t-1 feature if source_year=2024 exists locally,YES for forecast produced on 2026-05-07 because FLORES fin 2024 was published on 2026-03-31,NO for forecast produced before FLORES fin 2024 publication; UNKNOWN for FLORES 2025 in forecast 2027,MEDIUM,"Record official FLORES publication date. For 2027, exclude or freeze FLORES if 2025 is not published at prediction cutoff."
SIDE stocks,side_stock_*_t_minus_1; side_stock_growth_1y_t_minus_1,INSEE SIDE stocks etablissements,T-1,has_side_stock_source=0 for target_year 2025; stocks available through 2023 in manifest,manifest: side_stock_t_minus_1_available_for_2025=false; stocks 2014-2023,NO direct 2024 stock feature; source flag is 0 / imputed,NO for T-1=2025 stock with current files; latest stock 2023,NO,HIGH if treated as current signal; LOW if flagged/imputed transparently,Do not claim stock t-1 availability for 2025/2026. Prefer no_source_flags/lag_only or explicit missingness handling.
URSSAF annual features,urssaf_*_t_minus_1,URSSAF employment/payroll by ZE,T-1,has_urssaf_source=1 for 2012-2025 in current panel,local raw quarterly file present; builder creates annual t_minus_1 features,YES if source_year=2024 was available before evaluation,UNKNOWN for full 2025 annual; depends on URSSAF release calendar,NO/UNKNOWN,MEDIUM,"Verify URSSAF 2025 availability. If only partial year available, label as nowcast or use Q1-Q3 protocol."
URSSAF quarterly tensor,Q1-Q3 of year T-1: effectifs_salaries_cvs; masse_salariale_cvs,URSSAF quarterly employment/payroll,Q1-Q3 of T-1,"used by tensor builder, Q4 excluded","V3 dashboard/code says Q1-Q3 of T-1, Q4 excluded to remain forecast-safe",YES under Q1-Q3 protocol if 2024 Q1-Q3 were available,"LIKELY YES for 2025 Q1-Q3, but official release date must be recorded",MAYBE if Q1-Q3 already published; otherwise NO,MEDIUM,Keep Q1-Q3 only. Record publication cutoff and exclude Q4 for forecast claims.
COVID/rebound regime flags,is_covid_year; is_post_covid_rebound,calendar/event coding,T,2020 and 2021 flags; 2024/2025 false,deterministic calendar flags,YES,YES if future flags are predeclared and not target-derived,YES,LOW,Document as exogenous event/regime coding; avoid post-hoc flags for future unknown shocks.
Source availability flags,has_flores_source; has_side_stock_source; has_urssaf_source,pipeline coverage indicators,availability of T-1 source,removed in strict_no_source_flags; present in full panel,builder computes flags from source year sets,METHODOLOGICALLY AMBIGUOUS; flags encode source availability pattern,AMBIGUOUS; can encode release-cycle information,AMBIGUOUS,MEDIUM,Use no_source_flags as conservative main panel; keep flags only as ablation.
Graph geography,graph_adjacency_core_v0; graph_edge_index_core_v0,ZE geometry/contiguity,static geo2025 nomenclature,280 ZE core graph,manifest: geographie en vigueur au 1er janvier 2025; core 280 zones,YES,YES if same geography maintained,YES if same geography maintained,LOW,"State predictions are for fixed 280-ZE core, not all 306 SIDE ZE codes."
Graph mobility,graph_adjacency_mobility_v0,INSEE commuting / mobility domicile-travail,static prior,280 ZE mobility graph,local graph file; not time-varying in current experiments,YES as static prior,"YES as structural prior, not current-year signal",YES as structural prior,LOW/MEDIUM,Document mobility graph vintage; do not claim it updates annually unless rebuilt.
