feature_name,availability_class,type,description
nb_com,forecast-safe,static-geo,Number of communes in the ZE2020 zone.
total_establishments,forecast-safe,structural-economic-lag,FLORES establishment stock from the latest strictly previous profile year.
stock_lag_1,forecast-safe,stock-lag,Official/FLORES establishment stock from year T-1.
side_creations_lag_1,forecast-safe,target-lag,Official SIDE establishment creations from year T-1.
side_creations_spatial_lag_1,forecast-safe,geo-spatial-lag,Geographic-neighbor weighted average of SIDE creations from year T-1.
side_creations_mobility_lag_1,forecast-safe,mobility-spatial-lag,Mobility-neighbor weighted average of SIDE creations from year T-1.
pop_lag_1,forecast-safe,context-lag,Population from year T-1.
pop_lag_2,forecast-safe,context-lag,Population from year T-2.
regime_signal_lag_1,forecast-safe,regime-proxy,Annual national sectoral shock from year T-1 projected through zone sector weights.
sitadel_surface_autorisee_lag_1,forecast-safe,local-leading-proxy,Authorized non-residential construction surface from year T-1.
sitadel_surface_commencee_lag_1,forecast-safe,local-leading-proxy,Started non-residential construction surface from year T-1.
weight_a17_AZ,forecast-safe,sectoral-weight,Strictly previous A17 sector weight for AZ.
weight_a17_C1,forecast-safe,sectoral-weight,Strictly previous A17 sector weight for C1.
weight_a17_C2,forecast-safe,sectoral-weight,Strictly previous A17 sector weight for C2.
weight_a17_C3,forecast-safe,sectoral-weight,Strictly previous A17 sector weight for C3.
weight_a17_C4,forecast-safe,sectoral-weight,Strictly previous A17 sector weight for C4.
weight_a17_C5,forecast-safe,sectoral-weight,Strictly previous A17 sector weight for C5.
weight_a17_DE,forecast-safe,sectoral-weight,Strictly previous A17 sector weight for DE.
weight_a17_FZ,forecast-safe,sectoral-weight,Strictly previous A17 sector weight for FZ.
weight_a17_GZ,forecast-safe,sectoral-weight,Strictly previous A17 sector weight for GZ.
weight_a17_HZ,forecast-safe,sectoral-weight,Strictly previous A17 sector weight for HZ.
weight_a17_IZ,forecast-safe,sectoral-weight,Strictly previous A17 sector weight for IZ.
weight_a17_JZ,forecast-safe,sectoral-weight,Strictly previous A17 sector weight for JZ.
weight_a17_KZ,forecast-safe,sectoral-weight,Strictly previous A17 sector weight for KZ.
weight_a17_LZ,forecast-safe,sectoral-weight,Strictly previous A17 sector weight for LZ.
weight_a17_MN,forecast-safe,sectoral-weight,Strictly previous A17 sector weight for MN.
weight_a17_OQ,forecast-safe,sectoral-weight,Strictly previous A17 sector weight for OQ.
weight_a17_RU,forecast-safe,sectoral-weight,Strictly previous A17 sector weight for RU.
regime_signal_jan_mar,nowcast-only,regime-proxy,Current-year January-March national sectoral shock; only valid for Q1 nowcast.
regime_signal_jan_jun,diagnostic-only,regime-proxy,Current-year January-June national sectoral shock; not valid for pure forecast.
regime_signal_jan_sep,diagnostic-only,regime-proxy,Current-year January-September national sectoral shock; not valid for pure forecast.
regime_signal_jan_dec,diagnostic-only,regime-proxy,Full current-year national sectoral shock; post-hoc diagnostic only.
year_profile,excluded-metadata,temporal-metadata,Profile source year; excluded from tensors and models.
creation_rate,excluded-target-derived,target-derived,Contemporary target divided by stock_lag_1; diagnostic/alternative target only.
