source_family,canonical_or_candidate,path,update_frequency,temporal_granularity,geographic_granularity,coverage,status_for_next_phase,methodological_risk,next_use
SIDE official target,canonical,data/processed/target_side_establishments_annual_core_v0.csv,annual,annual,ZE2020,2012-2024 official observations,primary supervised target,publication timing must remain explicit,Target for annual and monthly-to-annual evaluation
SIDE official commune source,canonical,data/interim/tables/side_communal_creations_official_2012_2024_v0.csv,annual,annual,commune mapped to ZE2020,2012-2024,source audit layer,commune-to-ZE aggregation changes if geography changes,Traceability for target construction
SITADEL monthly surface,candidate_priority,data/interim/tables/sitadel_monthly_surface_ze2020_v0.csv,monthly,monthly,ZE2020,2013-2026 partial 2026,priority source for Dynamic STGNN,forecast cutoff must prevent current-year leakage,Build monthly windows and dynamic graph signals
SITADEL monthly derived annual,candidate,data/interim/tables/sitadel_monthly_derived_annual_ze2020_v0.csv,monthly,annual derived from monthly,ZE2020,2013-2026 partial 2026,candidate feature table,current full-year features leak if used to predict same year without cutoff,Fast audit of Q1 H1 previous-year and full previous-year windows
SITADEL annual surface,candidate,data/interim/tables/sitadel_surface_ze2020_v0.csv,annual,annual,ZE2020,2013-2024,historical annual comparator,less useful than monthly for dynamic graph,Annual-only ablation and lagged baseline
REI CFE,quarantine_candidate,data/interim/tables/rei_cfe_ze2020_v0.csv,annual,annual,ZE2020,2018-2024 processed subset,benchmark signal but not clean dynamic source,double-lag risk and 2022-2023 methodological break,Use only with explicit ablation/quarantine flag
Energy consumption,candidate,data/interim/tables/energy_consumption_ze2020_v0.csv,annual,annual,ZE2020,2008-2024 depending fuel,secondary exogenous candidate,heterogeneous source levels and annual frequency,Potential structural/lagged context after SITADEL audit
BPE evolution,candidate,data/processed/bpe_evolution_ze2020_core_v0.csv,annual,annual,ZE2020,2019-2024,candidate structural service signal,comparability and definition changes,Possible node context not primary dynamic signal
Mobility graph,fixed_comparator,data/processed/mobility_adjacency_row_normalized_core_v0.csv,static,static graph,ZE2020 x ZE2020,RP 2022 snapshot,comparator or prior only,static snapshot not contribution,Fixed-graph ablation and optional regularizer
Geographic graph,fixed_comparator,data/processed/graph_adjacency_core_v0.csv,static,static graph,ZE2020 x ZE2020,territorial reference 2026,comparator or prior only,static adjacency not contribution,Fixed-graph ablation and optional regularizer
Long annual tensor with REI,archived_experiment,data/processed/stgnn_tensor_long_with_rei_no_extra_shift_v0.npz,annual,annual tensor,ZE2020,2013-2024,Graph-Augmented RNN historical input,annual sequence too short for final Dynamic STGNN claim,Retain for reproducibility only
Fixed Graph-Augmented RNN predictions,archived_experiment,data/processed/tiny_audited_multigraph_stgnn_capped_baseline_v0_rei_no_extra_shift_nomask2020_h32_lr0015_cap095_scale5_pen050_global050_ep1000_predictions.csv,annual,annual predictions,ZE2020 folds,2021-2024,historical comparator,naming says STGNN but method is fixed-graph Graph-Augmented RNN,Use only as fixed-graph comparison reference
Population history,candidate_context,data/interim/tables/population_history_annual_ze2020_v0.csv,annual,annual,ZE2020,historical annual population series,structural context candidate,population is slow-moving and can dominate size effects if not normalized,Normalize monthly/annual signals by scale and add static/slow node context
