hypothesis_id,block,name,formula_description,source_table_iat,original_unit,aggregation_to_ze2020,aggregation_weight,is_static,can_train,post_model_only,leakage_risk,leakage_reason,expected_metric,acceptance_criterion,status
H1a,diversity,naf4_shannon_diversity,"Shannon entropy: -Σ p_i × ln(p_i) over NAF4 codes present in ZE2020","establishment JOIN nomenclature_activity",establishment × NAF4,Shannon entropy of NAF4 distribution per ZE2020,n_establishments per NAF4,STATIC_RECONSTRUCTIBLE,safe_for_training,no,LOW,"NAF4 distribution derived from SIRENE stock (T-1 lag). Static version from 2022 snapshot only safe for 2022+.","Higher diversity → lower volatility in total establishment creation","WMAPE improvement ≥0.2pp in small/medium ZEs OR seed variance reduced. No degradation in 2021.",CANDIDATE
H1b,diversity,naf4_hhi,"Herfindahl-Hirschman Index: Σ (p_i)^2 over NAF4","establishment JOIN nomenclature_activity",establishment × NAF4,HHI of NAF4 distribution per ZE2020,n_establishments per NAF4,STATIC_RECONSTRUCTIBLE,safe_for_training,no,LOW,Same as H1a.,"Higher HHI (concentration) → higher volatility","HHI and diversity should be negatively correlated. If HHI > 0.5, ZE more volatile.",CANDIDATE
H2a,concentration,top_naf4_share,Share of establishments in dominant NAF4 sector per ZE2020,"establishment JOIN nomenclature_activity",establishment × NAF4,max(share_i) per ZE2020,n_establishments,STATIC_RECONSTRUCTIBLE,static_context_candidate,no,MEDIUM,"Static snapshot 2022. For backtest ≤2021: reconstruct from util_histo_establishment (available 2006–2018 at dept level, not commune).","Very high top-naf4-share ZEs may show sector-specific shocks","If top_naf4_share > 0.4: ZE considered concentrated. Check WMAPE in concentrated vs. diversified zones.",CANDIDATE
H2b,concentration,n_distinct_naf4,Count of distinct NAF4 codes present in ZE2020,"establishment JOIN nomenclature_activity",establishment × NAF4,COUNT(DISTINCT naf_code) per ZE2020,none,STATIC_RECONSTRUCTIBLE,static_context_candidate,no,MEDIUM,Same as H2a.,"More NAF4 codes → more diverse economy","Correlation with n_active_estab expected (larger ZE = more NAF4). Normalize by log(n_estab).",CANDIDATE
H3a,productive_proximity,mean_naf_proximity,Mean pairwise NAF proximity score between co-present NAF codes in ZE2020,vw_naf_proximity JOIN establishment,NAF pair × proximity score,Mean proximity for all co-present NAF pairs within ZE2020,n_establishment_pairs per NAF pair,STATIC,static_context_candidate,no,LOW,"vw_naf_proximity matrix is static. Sector presence changes annually (use T-1 SIRENE for dynamic version).","ZEs with more complementary sectors may show more stable growth","Mean NAF proximity > 0.5 indicates cohesive productive tissue. Expect lower WMAPE variance.",CANDIDATE
H3b,productive_proximity,mean_semantic_proximity,Mean pairwise semantic NAF proximity within ZE2020,vw_naf_proximity JOIN establishment,NAF pair × semantic_proximity,Mean semantic proximity for co-present NAF pairs per ZE2020,n_establishment_pairs,STATIC,static_context_candidate,no,LOW,Same as H3a.,"Semantic proximity captures labor market coherence beyond product space","Semantic vs. product-space proximity may capture different dimensions.",CANDIDATE
H4a,input_output,nace_io_linkage_strength,"Sum of IO coefficients: Σ io_coeff(i,j) for sector pairs (i,j) both present in ZE2020","iot_production_nace + iot_consume_nace JOIN establishment (via NAF→NACE)",NACE × NACE IO coefficient,Weighted sum of IO linkages for sectors co-present in ZE2020,n_establishments per NACE,STATIC,safe_for_training,no,LOW,"IO table is structural benchmark (2015 or 2019 vintage). Sector presence uses T-1 SIRENE for dynamic version.","ZEs with strong IO linkages (supply chains) show more resilient creation dynamics","IO linkage strength > 1.0 (arbitrary threshold): test if these ZEs have lower WMAPE in sector C (industry).",CANDIDATE
H4b,input_output,supplier_density,Count of potential supplier sectors present in ZE2020 per NACE sector,"iot_production_nace JOIN establishment",NACE supplier link per establishment,Count of distinct supplier NACE sectors per ZE2020,n_establishment per NACE,STATIC,post_model_only,yes,HIGH,"partner_calc_iot is a 2022 static snapshot. Not safe as training feature without temporal reconstruction. Valid as post-model layer.","ZEs with diverse supplier base may attract more new establishments","Use after HERALD prediction to explain which supply chain factors correlate with predicted growth.",NOT_SAFE_FOR_TRAINING
H5a,complexity,avg_product_complexity_pci,Mean PCI (Product Complexity Index) of HS4 products declared by establishments in ZE2020,"product JOIN nomenclature_product_complexity JOIN establishment→city",HS4 product × PCI score,Weighted mean PCI per ZE2020,n_products per establishment,STATIC,safe_for_training,no,LOW,"PCI vintage ≤2018 (Harvard Atlas). Safe for all HERALD years. PCI is structural.","Higher mean PCI → more complex productive base → potentially more stable or higher-growth trajectory","PCI quartile analysis: do high-PCI ZEs have lower WMAPE or higher growth? Expect difference in A10-C (industry) sectors.",CANDIDATE
H5b,complexity,pci_std_within_ze,Standard deviation of PCI across products in ZE2020,"product JOIN nomenclature_product_complexity JOIN establishment→city",HS4 product × PCI,Std dev of PCI per ZE2020,n_products,STATIC,static_context_candidate,no,LOW,Same as H5a.,"High PCI variance = diverse product sophistication mix","High PCI_std may indicate transition zones (mixed sophistication).",EXPLORATORY
