feature,atlas_table,atlas_column,source_status,external_source_name,external_source_url,api_available,download_method,frequency,available_years,publication_lag_months,can_reconstruct_2021_2025,can_use_for_2026_2027,safe_for_training,post_model_only,risk_level,update_script_needed,notes
n_total_estab,establishment,COUNT(*) via address→city→ZE2020,source_confirmed,INSEE SIRENE — Base SIRET (établissements),https://www.data.gouv.fr/fr/datasets/base-siret/,YES — INSEE SIRENE API v3,API or bulk CSV download (data.gouv.fr),Monthly stock file,2010–present,1,YES,YES,YES — T-1 lag,NO,MEDIUM,YES — filter active by etat_administratif + join to ZE2020 via code_commune_etablissement,"Snapshot in IAT is circa 2020. For any backtest ≤2021, must use SIRENE stock Dec(Y-1). API: https://api.insee.fr/catalogue/site/themes/wso2/subthemes/insee/pages/item-info.jag?name=Sirene&version=V3"
n_active_estab,establishment,administrative_status = true,source_confirmed,INSEE SIRENE — Base SIRET,https://www.data.gouv.fr/fr/datasets/base-siret/,YES — INSEE SIRENE API v3,API or bulk CSV,Monthly,2010–present,1,YES,YES,YES — T-1 lag,NO,MEDIUM,YES,"Field: etat_administratif_etablissement = 'A' for active. Available historically. SIRENE stocks available for 2010–2024 via data.gouv.fr archives."
n_inactive_estab,establishment,administrative_status = false,source_confirmed,INSEE SIRENE — Base SIRET,https://www.data.gouv.fr/fr/datasets/base-siret/,YES — INSEE SIRENE API v3,API or bulk CSV,Monthly,2010–present,1,YES,YES,B_static_context,NO,MEDIUM,YES,"Derived as n_total - n_active. Inactive = administratively ceased in SIRENE."
active_share,establishment,n_active / n_total,source_confirmed,INSEE SIRENE — Base SIRET,https://www.data.gouv.fr/fr/datasets/base-siret/,YES — INSEE SIRENE API v3,API or bulk CSV,Monthly,2010–present,1,YES,YES,YES — T-1 lag,NO,MEDIUM,YES,Computed ratio. Same sources as above.
total_workforce,establishment,SUM(workforce_count) per ZE2020,source_confirmed,INSEE SIRENE — trancheEffectifsEtablissement field,https://www.data.gouv.fr/fr/datasets/base-siret/,YES — INSEE SIRENE API v3,API or bulk CSV,Variable (updated at declaration),2010–present (sparse),12–18,PARTIAL — 31% estab have non-zero value,YES,YES — T-2 lag,NO,MEDIUM,YES,"workforce_count maps to SIRENE field trancheEffectifsEtablissement (size class 0–9). Only 31% of establishments have value >0. Better reconstruction source: CLAP/ESANE (INSEE) or DSN (URSSAF). CLAP: https://www.insee.fr/fr/statistiques/2021201"
avg_workforce_per_estab,establishment,AVG(workforce_count) per ZE2020,source_confirmed,INSEE SIRENE — trancheEffectifsEtablissement,https://www.data.gouv.fr/fr/datasets/base-siret/,YES — INSEE SIRENE API v3,API or bulk CSV,Variable,2010–present (sparse),12–18,PARTIAL,YES,YES — T-2 lag,NO,MEDIUM,YES,"Same caveats as total_workforce. For full employment stock by territory: use CLAP (emploi localisé par zone d'emploi) from INSEE."
n_distinct_naf4,establishment JOIN nomenclature_activity,COUNT(DISTINCT na.code) per ZE2020,source_confirmed,INSEE SIRENE (activite_principale) + INSEE NAF Rev2 nomenclature,https://www.insee.fr/fr/information/2120875,YES — SIRENE API,API or bulk CSV + static nomenclature file,Annual (SIRENE stock),2008–present (NAF Rev2 since 2008),1,YES,YES,B_static_context,NO,MEDIUM,YES,"NAF code = activitePrincipaleEtablissement in SIRENE. NAF Rev2 nomenclature stable since 2008, available as CSV from INSEE."
naf4_shannon_diversity,establishment JOIN nomenclature_activity,Shannon entropy of NAF4 distribution per ZE2020,source_confirmed,INSEE SIRENE (activite_principale) + INSEE NAF Rev2,https://www.data.gouv.fr/fr/datasets/base-siret/,YES — SIRENE API,API or bulk CSV,Annual,2010–present,1,YES,YES,YES — T-1 lag,NO,MEDIUM,YES,"Computed metric. Formula: -SUM(p_i * ln(p_i)). Source is SIRENE stock Dec(Y-1). Safe for all HERALD years with T-1 reconstruction."
naf4_hhi,establishment JOIN nomenclature_activity,SUM(p_i^2) of NAF4 shares per ZE2020,source_confirmed,INSEE SIRENE (activite_principale) + INSEE NAF Rev2,https://www.data.gouv.fr/fr/datasets/base-siret/,YES — SIRENE API,API or bulk CSV,Annual,2010–present,1,YES,YES,YES — T-1 lag,NO,MEDIUM,YES,"Herfindahl-Hirschman Index. Same sources as diversity. Negatively correlated with Shannon entropy (~-0.8 expected)."
avg_pci_naf_weighted,rank_economic_growth + nomenclature_activity_product_proximity,pci_2019 weighted by NAF-product proximity,source_inferred,Harvard Atlas of Economic Complexity — Product Complexity Index (PCI),https://atlas.cid.harvard.edu/ or https://oec.world/en/resources/data,YES — OEC API (limited free tier),Manual download from OEC (CSV per year) or Harvard Dataverse,Every 2–3 years,2012 2015 2017 2019 2021 available,24–36,YES — static PCI safe for all years,YES,YES — static structural,NO,LOW,YES — update only on new Harvard release,"WARNING: column named rank_economic_growth but content is PCI (product complexity index), NOT GDP growth rate. Confirmed from DB: columns are hs4 + pci_2019 + pci_norm. Harvard Dataverse: https://dataverse.harvard.edu/dataverse/atlas. NAF→HS4 proximity used as weight: nomenclature_activity_product_proximity (295 NAF codes / 1195 HS4 products). Coverage: 60.1% of active establishments."
avg_resilience_naf_weighted,rank_productive_resilience + nomenclature_activity_product_proximity,resilience_norm weighted by NAF-product proximity,proprietary_or_internal,Internal — network efficiency × redundancy analysis on 2019 trade flows,None confirmed,NO,Not reproducible without methodology,None (static snapshot),2019 vintage (single snapshot),n/a,NO — formula not documented,PARTIAL — static use only,B_static_context,NO,LOW,NO — formula unknown,"resilience computed from util_efficiency_and_redundancy_per_flows_2019 (HS4 × country pair network analysis). Columns: efficiency_i_j + redundancy_i_j + alpha + resilience. The resilience value is nearly constant (~0.1597) across all HS4 — resilience_norm provides the discriminating range. Likely based on Hidalgo/Hausmann fitness or Jiang-Lorente network resilience framework. Cannot reproduce without methodology documentation."
avg_green_naf_weighted,rank_green_production + nomenclature_activity_product_proximity,green_norm weighted by NAF-product proximity,source_unknown,Unknown — possibly EU Taxonomy / OECD ENV-LINKAGES / IEA green trade classification,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,NO — source unconfirmed,NO,post_model_only,YES,MEDIUM,NO — source unknown,"green_norm ∈ [0,1] per HS4 product. National mean = 0.004 (very low — services-dominated economy). Source not confirmed. Candidate sources: (1) EU Taxonomy Regulation Annex I-VI mapped to NACE/HS4 https://finance.ec.europa.eu/sustainable-finance/tools-and-standards/eu-taxonomy-sustainable-activities_en ; (2) OECD ENV-LINKAGES Green Trade data; (3) IEA clean energy product classification. Do NOT use for training until source confirmed."
avg_maslow_naf_weighted,rank_basic_necessities + nomenclature_activity_product_proximity,maslow_norm weighted by NAF-product proximity,proprietary_or_internal,Internal — Maslow hierarchy of needs applied to HS4 products,None confirmed,NO,Not reproducible without product-to-Maslow mapping,None (static),Single snapshot,n/a,PARTIAL — static use as context,YES — static interpretation layer,B_static_context,NO,LOW,NO — mapping table internal,"maslow_cat (float) + maslow_norm per HS4. Categories map to Maslow levels: physiological (food/water/shelter) → safety (security/health) → social → esteem → self-actualization. The mapping table is internal to the Atlas system. Paris mean = 0.37 (services, esteem/self-actualization tier). Rural industrial zones < 0.10. Useful as post-model context layer."
mean_naf_proximity,vw_naf_proximity (matview),AVG(proximity) for co-present NAF pairs in ZE2020,source_inferred,Internal — product space proximity between NAF activities. Derived from nomenclature_activity_product_proximity + Harvard Atlas trade data,None directly,NO,Not directly downloadable — must recompute from source components,None (static matrix),Single computation,n/a,PARTIAL — matrix static; sector presence updates annually from SIRENE T-1,YES — sector presence T-1,B_static_context,NO,LOW,YES — sector presence update script needed,"vw_naf_proximity (84264 pairs) has two columns: proximity (product-space) + semantic_proximity (NLP). The proximity column is based on shared export basket similarity (Harvard product space adapted to NAF via nomenclature_activity_product_proximity crosswalk). Can recompute with new NAF→HS4 crosswalk + new RCA data."
mean_semantic_proximity,vw_naf_proximity (matview),AVG(semantic_proximity) for co-present NAF pairs in ZE2020,source_inferred,Internal — NLP embeddings on NAF activity names (name_ref2 field). Likely sentence-BERT or word2vec on French/English descriptions,None,NO,Not reproducible without knowing the embedding model,None,Single computation,n/a,NO — model unknown,PARTIAL — can re-embed with new model,B_static_context,NO,LOW,NO — model identity unknown,"nomenclature_activity has name_ref2 hstore with FR + EN descriptions. nomenclature_activity_semantic_proximity table confirms NLP-based similarity (float columns NACE2_source/NACE2_target, similarity ∈ [0.79, 0.95]). Embedding model not documented. Can reproduce with open models (sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2) but results would differ."
nace_io_mean,nace_proximities (derived from raw_iot_secteur_nace),AVG(weight) for co-present NACE pairs per ZE2020,source_inferred,INSEE Tableaux Entrées-Sorties (TES) or Eurostat Supply-Use Tables at NACE level,https://www.insee.fr/fr/statistiques/2022724 (INSEE TES) or https://ec.europa.eu/eurostat/web/esa-supply-use-input-tables (Eurostat),YES — Eurostat API (limited),Manual download: INSEE TES CSV or Eurostat bulk download tool,Every 5 years (benchmark); annually provisional from Eurostat,INSEE TES: 2010 2014 2015 2019; Eurostat SUTS: 2010–2020,36,YES — use same IO table for all years (structural),YES,YES — static structural,NO,LOW,YES — update script for new TES vintage,"nace_proximities has 235 distinct NACE codes, weight range [0.75, 1.0] — appears filtered to high-weight pairs only. national IO mean ~0.80 with low variance across ZEs, suggesting limited discriminating power. raw_iot_secteur_nace is the source (wide-format NACE×NACE matrix). Can reconstruct from INSEE TES 2019 symmetrical IO table."
nace_io_total,nace_proximities (derived from raw_iot_secteur_nace),SUM(weight) for co-present NACE pairs per ZE2020,source_inferred,INSEE TES / Eurostat SUTS,https://www.insee.fr/fr/statistiques/2022724,YES — Eurostat API,Manual download,Every 5 years,2010 2014 2015 2019,36,YES,YES,YES — static structural,NO,LOW,YES,"Higher n_nace_pairs → higher nace_io_total. Large ZEs (more sectors) will mechanically have higher totals. Normalize by n_nace_pairs^2 before use."
