block,tables_or_views,source_type,source_name,source_url_probable,evidence,confidence,notes
SIRENE/SIRET entities,establishment + company + recup_establishment + forgotten_establishment,confirmed,INSEE SIRENE / base SIRET,https://www.data.gouv.fr/fr/datasets/base-siret/,Tables named establishment/company with siret/siren indexed columns matching SIRENE structure,HIGH,Snapshot likely 2021–2022. Contains workforce and activity codes. Temporal reconstruction requires annual SIRENE snapshots.
COG geography,address + city + department + region + country + epci + epci_city,confirmed,INSEE Code Officiel Géographique (COG),https://www.insee.fr/fr/information/2666684,city.insee_code column indexed. city→department→region→country FK chain mirrors COG hierarchy. EPCI tables match COG EPCI referential.,HIGH,insee_code in city is 5-digit commune code. Compatible with commune_to_ze2020_2026.csv.
NAF nomenclature,nomenclature_activity + nomenclature_activity_section + util_nomenclature_naf_a10/a17/a21/a38/a64/a88/a129/a732 + macro_secteur_naf,confirmed,INSEE Nomenclature d'Activités Française Rév. 2 (NAF rev2),https://www.insee.fr/fr/information/2120875,util_nomenclature_naf_* tables cover all standard NAF aggregation levels (A10 to A732). FK from nomenclature_activity to macro_secteur_naf.,HIGH,NAF rev2 stable since 2008. A10 directly compatible with HERALD A10 sectors.
ROME jobs nomenclature,nomenclature_rome + nomenclature_rome_main_domain + nomenclature_rome_professional_domain + nomenclature_link_activity_rome + jobs + jobs_link,confirmed,ROME v4 — France Travail (ex-Pôle Emploi),https://www.pole-emploi.org/opendata/repertoire-operationnel-des-meti.html,Tables mirror ROME 3-level hierarchy (code → domaine professionnel → grand domaine). nomenclature_link_activity_rome provides NAF↔ROME bridge.,HIGH,ROME v4 released 2022. jobs/jobs_link may reflect employment stock data by territory.
NC2020 product nomenclature,util_nomenclature_nc2020_section/chapter/lvl1/lvl2/lvl3 + util_link_nc2020_cpf6 + util_import_export_2018_by_nc2020,confirmed,Nomenclature Combinée 2020 (NC) — Direction Générale des Douanes,https://www.douane.gouv.fr/,5-level NC hierarchy tables with FK chain. Cross-linked to CPF6. Import/export 2018 by NC2020 confirms trade usage.,HIGH,NC is the EU Combined Nomenclature used for French customs data.
HS product nomenclature,nomenclature_product + util_convert_hs2017_hs1992 + util_nomenclature_naf_a732 (via CPF link),confirmed,Harmonized System HS4 / HS2017 — UN/WTO,https://www.wcoomd.org/en/topics/nomenclature/instrument-and-tools/hs-nomenclature-2017-edition.aspx,nomenclature_product has code_hs4 and code_nc columns (indexed). util_convert_hs2017_hs1992 confirms HS revision crosswalk.,HIGH,HS4 = 4-digit Harmonized System. Used for Harvard Atlas RCA computation.
CPF crosswalks,util_link_a732_cpf6 + util_link_nc2020_cpf6 + util_link_hs4_cpf4,confirmed,INSEE Classification des Produits Français (CPF),https://www.insee.fr/fr/information/2028631,Three crosswalk tables linking NAF/NC/HS to CPF at matching digit levels.,HIGH,CPF is the French national product classification (CPA-compatible).
French trade data (domestic),util_export_import + util_export_import_dep + util_import_region_2019 + util_import_2019_nc8_a732 + util_region_2019_* + util_total_exports_by_french_department_2019 + export_by_country,confirmed,Direction Générale des Douanes et Droits Indirects (DGDDI),https://www.douane.gouv.fr/fiche/statistiques-du-commerce-exterieur,Multiple tables named util_region_2019_* and util_total_exports_by_french_department_2019 covering 2018–2019. Department/region breakdown matches DGDDI publication format.,HIGH,Data appears frozen at 2018–2019. Dynamic update requires annual Douanes data pull.
World trade data,util_mondial_exports_by_hs4 + util_mondial_exports_per_country + util_mondial_exports_per_hs4_2019 + util_mondial_exports_per_hs4_and_country_2019 + util_mondial_imports_per_hs4_and_country_2019 + util_mondial_import_export_2019,inferred,UN COMTRADE or CEPII BACI,https://www.cepii.fr/CEPII/fr/bdd_modele/bdd_modele_item.asp?id=37,Tables cover world exports/imports by HS4 × country in 2019. Structure compatible with BACI (CEPII) harmonized bilateral trade database.,MEDIUM,BACI 2019 vintage likely. Could also be OEC/Harvard Atlas raw trade data. Confirmation requires inspection of actual data.
Harvard Atlas RCA,vw_rca_by_dep + vw_rca_by_reg + vw_rca_by_it + vw_export_harvard_* + vw_import_harvard_* + vw_world_coef + vw_proximity_123,inferred,Harvard Atlas of Economic Complexity / OEC methodology,https://atlas.cid.harvard.edu/,Materialized views named *_harvard_* use Balassa RCA formula (Xcp / sum_c(Xcp) / sum_p(Xcp) * sum_cp(Xcp)). vw_world_coef likely stores world denominators.,HIGH,The Harvard Atlas method is open: RCA = (exports_c_p / exports_c) / (exports_w_p / exports_w). Methodology documented at https://oec.world/
