feature_name,hypothesis,source_table_iat,aggregation_method,aggregation_weight,use_classification,leakage_risk,train_safe,dynamic_recipe,notes
naf4_shannon_diversity,H1a,establishment JOIN nomenclature_activity,"-SUM(p_i * ln(p_i)) over NAF4 codes present",n_establishments per NAF4,A_safe_for_training,MEDIUM,YES (T-1 SIRENE),"Annual: filter SIRENE stock Dec Y-1 → ZE2020 join → compute entropy","In v0 CSV (static 2022 snapshot). Reconstruct annually from SIRENE stock."
naf4_hhi,H1b,establishment JOIN nomenclature_activity,"SUM(p_i^2) over NAF4 codes present",n_establishments per NAF4,A_safe_for_training,MEDIUM,YES (T-1 SIRENE),"Annual: same path as diversity","In v0 CSV. Complement to diversity."
n_active_estab,H8a (proxy),establishment JOIN address JOIN city,COUNT(*) WHERE active,none,A_safe_for_training,MEDIUM,YES (T-1 SIRENE),"Annual: count active SIRET in ZE2020 from SIRENE stock Dec Y-1","In v0 CSV. Highly correlated with SIDE target — may be redundant."
n_distinct_naf4,H2b,establishment JOIN nomenclature_activity,COUNT(DISTINCT naf_code),none,B_static_context,MEDIUM,NO (snapshot),"Annual: same as diversity","In v0 CSV. Normalize by log(n_active_estab) before use."
avg_workforce_per_estab,H8a,establishment,MEAN(workforce_count),n_establishments,A_safe_for_training,MEDIUM,YES (T-2 SIRENE),"Annual: SIRENE tranche_effectifs Dec Y-2 (18-month lag)","In v0 CSV. 31% of establishments have workforce_count > 0. Others are 0."
mean_naf_proximity,H3a,vw_naf_proximity JOIN establishment,MEAN(proximity) for co-present NAF pairs,n_establishment_pairs per NAF pair,B_static_context,LOW,PARTIAL (matrix static),Annual sector presence from T-1 SIRENE × static proximity matrix,"84,264 NAF pairs in vw_naf_proximity. Range [0, 2.76]. Two dimensions: proximity + semantic_proximity."
mean_semantic_proximity,H3b,vw_naf_proximity JOIN establishment,MEAN(semantic_proximity) for co-present NAF pairs,n_establishment_pairs,B_static_context,LOW,PARTIAL,Same as mean_naf_proximity,Semantic NLP-based proximity. Captures labor market coherence.
nace_io_strength,H4a,iot_production_nace + iot_consume_nace JOIN establishment,SUM(io_coeff * n_estab_i * n_estab_j) for co-present NACE pairs,n_establishments per NACE,A_safe_for_training,LOW,YES (static IO),"Static: IO table is structural benchmark (2015/2019 vintage)","Must map NAF→NACE before join. nace_proximities table (2816 rows) has IO-derived proximity."
avg_pci,H5a,rank_economic_growth JOIN product JOIN establishment,MEAN(pci_2019) weighted by n_products,n_products per establishment,A_safe_for_training,LOW,NO (static Harvard PCI),"Static: PCI is long-run structural. Update only on new Harvard Atlas release.","rank_economic_growth.pci_2019 is Harvard PCI — NOT GDP growth rate. Name misleading."
avg_resilience,H6b,rank_productive_resilience JOIN product JOIN establishment,MEAN(resilience_norm) weighted by n_products,n_products per establishment,B_static_context,LOW,NO (static 2019 flows),"Static: network resilience = efficiency × redundancy from 2019 IO trade flows.","resilience_norm ∈ [0,1]. Test correlation with 2021 WMAPE (COVID shock)."
pci_std_within_ze,H5b,rank_economic_growth JOIN product JOIN establishment,STDEV(pci_2019) per ZE2020,n_products,B_static_context,LOW,NO (static),Same as avg_pci,High std = diverse product sophistication mix within ZE2020.
avg_green_score,H6a,rank_green_production JOIN product JOIN establishment,MEAN(green_norm) weighted by n_products,n_products,C_post_model_only,MEDIUM,NO,"Post-model only — source not confirmed. Must validate green_norm methodology before training use.","green_norm ∈ [0,1]. Source possibly EU taxonomy or OECD ENV-LINKAGES. Verify SQL."
maslow_coverage,H6c,rank_basic_necessities JOIN product JOIN establishment,MEAN(maslow_norm) weighted by n_products,n_products,C_post_model_only,LOW,NO,Post-model only — context layer.,"Maslow hierarchy applied to HS4 products: physiological/safety/social/esteem/self-actualization."
recommendation_density,H7a,recommendation JOIN establishment JOIN city,COUNT(recommendations) / n_active_estab,n_active_estab,C_post_model_only,HIGH,NO,"Post-model only — 2022 static snapshot. Never use for backtest.","117,644 recommendations. Types: CUSTOMER/SUPPLIER/PRODUCT/PARTNERSHIP/PRODUCTION_UNIT."
partner_potential_mean,H7b,ia_establishment_potential_partners JOIN establishment,MEAN(proximity + semantic_proximity) per ZE2020,n_potential_partners,C_post_model_only,HIGH,NO,"Post-model only — 2022 static snapshot.","1.2M computed potential partner pairs. Aggregated to ZE2020 = mean economic integration capacity."
export_rca_strength,H6b (proxy),NOT IN IAT — external source,"COUNT(hs4 with RCA>1) per ZE2020 via department proxy","export value per hs4",A_safe_for_training,MEDIUM,YES (T-2 Douanes),"Annual: Douanes France export data T-2 → department-level RCA → ZE2020 aggregation via population weighting.","Not in Atlas/IAT directly. Must be computed from Douanes annual files. IAT has 2019 Douanes data as reference."
workforce_density,H8a,establishment,SUM(workforce_count) / n_communes_in_ze,none,A_safe_for_training,MEDIUM,YES (T-2 CLAP),"Annual: CLAP/DARES employment data T-2 lag.","Total_workforce / n_communes is a rough proxy. Better: use CLAP employment by ZE if available."
